Mode Number:,1,,,,Mode Number:,2,,,,Mode Number:,3,,,,Mode Number:,4,,,,Mode Number:,5,,,,Mode Number:,6,,,,Mode Number:,7,,,,Mode Number:,8,,,,Mode Number:,9,,,,Mode Number:,10,,,,Mode Number:,11,,,,Mode Number:,12,,,,Mode Number:,13,,,,Mode Number:,14,,,
Natural (undamped) frequency (Hz):, 0.252769,,,,Natural (undamped) frequency (Hz):, 0.255038,,,,Natural (undamped) frequency (Hz):, 0.567012,,,,Natural (undamped) frequency (Hz):, 0.671910,,,,Natural (undamped) frequency (Hz):, 0.763922,,,,Natural (undamped) frequency (Hz):, 0.880619,,,,Natural (undamped) frequency (Hz):, 1.112708,,,,Natural (undamped) frequency (Hz):, 1.642920,,,,Natural (undamped) frequency (Hz):, 1.825067,,,,Natural (undamped) frequency (Hz):, 1.865911,,,,Natural (undamped) frequency (Hz):, 2.059487,,,,Natural (undamped) frequency (Hz):, 2.346023,,,,Natural (undamped) frequency (Hz):, 2.351511,,,,Natural (undamped) frequency (Hz):, 4.314436,,,
Damped frequency (Hz):, 0.252764,,,,Damped frequency (Hz):, 0.254394,,,,Damped frequency (Hz):, 0.391921,,,,Damped frequency (Hz):, 0.517637,,,,Damped frequency (Hz):, 0.637092,,,,Damped frequency (Hz):, 0.879867,,,,Damped frequency (Hz):, 1.112169,,,,Damped frequency (Hz):, 1.580331,,,,Damped frequency (Hz):, 1.759923,,,,Damped frequency (Hz):, 1.809016,,,,Damped frequency (Hz):, 2.053835,,,,Damped frequency (Hz):, 2.328254,,,,Damped frequency (Hz):, 2.341560,,,,Damped frequency (Hz):, 4.303103,,,
Damping Ratio (-):, 0.006545,,,,Damping Ratio (-):, 0.070979,,,,Damping Ratio (-):, 0.722660,,,,Damping Ratio (-):, 0.637565,,,,Damping Ratio (-):, 0.551801,,,,Damping Ratio (-):, 0.041323,,,,Damping Ratio (-):, 0.031142,,,,Damping Ratio (-):, 0.273389,,,,Damping Ratio (-):, 0.264791,,,,Damping Ratio (-):, 0.245059,,,,Damping Ratio (-):, 0.074033,,,,Damping Ratio (-):, 0.122847,,,,Damping Ratio (-):, 0.091903,,,,Damping Ratio (-):, 0.072435,,,
Mode 1 state description,State has max at mode 1,Mode 1 signed magnitude,Mode 1 phase (deg),,Mode 2 state description,State has max at mode 2,Mode 2 signed magnitude,Mode 2 phase (deg),,Mode 3 state description,State has max at mode 3,Mode 3 signed magnitude,Mode 3 phase (deg),,Mode 4 state description,State has max at mode 4,Mode 4 signed magnitude,Mode 4 phase (deg),,Mode 5 state description,State has max at mode 5,Mode 5 signed magnitude,Mode 5 phase (deg),,Mode 6 state description,State has max at mode 6,Mode 6 signed magnitude,Mode 6 phase (deg),,Mode 7 state description,State has max at mode 7,Mode 7 signed magnitude,Mode 7 phase (deg),,Mode 8 state description,State has max at mode 8,Mode 8 signed magnitude,Mode 8 phase (deg),,Mode 9 state description,State has max at mode 9,Mode 9 signed magnitude,Mode 9 phase (deg),,Mode 10 state description,State has max at mode 10,Mode 10 signed magnitude,Mode 10 phase (deg),,Mode 11 state description,State has max at mode 11,Mode 11 signed magnitude,Mode 11 phase (deg),,Mode 12 state description,State has max at mode 12,Mode 12 signed magnitude,Mode 12 phase (deg),,Mode 13 state description,State has max at mode 13,Mode 13 signed magnitude,Mode 13 phase (deg),,Mode 14 state description,State has max at mode 14,Mode 14 signed magnitude,Mode 14 phase (deg),
ED Variable speed generator DOF  rad,1,1.000000,0.000000,,ED 1st flapwise bending-mode DOF of blade cosine  m,1,1.000000,0.000000,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,1.000000,0.000000,,ED 1st flapwise bending-mode DOF of blade collective  m,0,1.000000,0.000000,,ED 1st flapwise bending-mode DOF of blade sine  m,0,1.000000,0.000000,,ED 1st edgewise bending-mode DOF of blade sine  m,1,1.000000,0.000000,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,1.000000,0.000000,,ED 2nd flapwise bending-mode DOF of blade cosine  m,1,1.000000,0.000000,,ED 2nd flapwise bending-mode DOF of blade collective  m,1,1.000000,0.000000,,ED 2nd flapwise bending-mode DOF of blade sine  m,1,1.000000,0.000000,,ED 1st edgewise bending-mode DOF of blade collective  m,1,1.000000,0.000000,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,1.000000,0.000000,,ED 1st edgewise bending-mode DOF of blade collective  m,0,1.000000,0.000000,,ED Drivetrain rotational-flexibility DOF  rad,1,1.000000,0.000000,
ED 1st tower side-to-side bending mode DOF  m,1,-0.562744,-0.962817,,ED 1st flapwise bending-mode DOF of blade collective  m,1,0.943720,9.165978,,ED 1st flapwise bending-mode DOF of blade sine  m,1,0.984400,89.318413,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.168213,37.225074,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.986364,87.472218,,ED 1st edgewise bending-mode DOF of blade cosine  m,1,0.947115,-89.888545,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.934415,89.391248,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.785845,78.411415,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.225717,-27.480140,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.672038,64.565241,,ED Variable speed generator DOF  rad,0,0.720900,0.541269,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.676249,-27.223259,,ED Variable speed generator DOF  rad,0,-0.678627,14.725022,,ED Variable speed generator DOF  rad,0,-0.839828,-0.123440,
ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.261223,50.050391,,ED 1st tower fore-aft bending mode DOF  m,1,-0.726359,-83.181700,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.137843,-58.825247,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.144251,-55.729234,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.141737,26.549363,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.250673,-65.083809,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.324403,0.049806,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.281033,74.676886,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.216783,-77.769721,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.228162,-40.983631,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.217981,-1.581428,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.168495,-11.751556,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.268923,35.394329,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.220571,0.497765,
ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.139512,-1.529585,,ED Variable speed generator DOF  rad,0,-0.227823,-5.617108,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.134773,29.537917,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.067588,-38.179795,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.140515,-60.199731,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.229583,20.196703,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.304528,-85.045951,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.144793,-0.623832,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.168055,41.776430,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.170784,-82.726303,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.195090,1.915816,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.126375,-69.903016,,ED Drivetrain rotational-flexibility DOF  rad,0,0.233106,18.383621,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.048252,-1.750020,
ED 1st flapwise bending-mode DOF of blade cosine  m,0,-0.052460,-57.264599,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.149689,-59.034315,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.025464,-88.925711,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.042964,19.002753,,ED 1st edgewise bending-mode DOF of blade sine  m,0,0.026494,-8.304886,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,0.098300,-39.536757,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.120666,-3.734379,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.058707,-34.065982,,ED Variable speed generator DOF  rad,0,-0.079865,87.889303,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.113212,-13.245303,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.155087,63.518403,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.106678,-30.339660,,ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.213038,-3.317283,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.034342,12.073860,
ED 1st flapwise bending-mode DOF of blade collective  m,0,-0.027101,76.941738,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.118807,-77.667157,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.025030,-0.087053,,ED Variable speed generator DOF  rad,0,-0.029782,-56.374329,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,0.024740,88.259070,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.092406,44.626139,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.107498,82.447826,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.046962,87.860638,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.061749,28.927989,,ED 1st edgewise bending-mode DOF of blade sine  m,0,-0.085415,-27.793249,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.020209,49.652680,,ED 2nd flapwise bending-mode DOF of blade collective  m,0,0.100310,5.929735,,ED 1st flapwise bending-mode DOF of blade sine  m,0,-0.189158,4.395237,,ED 1st edgewise bending-mode DOF of blade cosine  m,0,-0.006048,1.600820,
