Mode Number:,1,,,,Mode Number:,2,,,,Mode Number:,3,,,,Mode Number:,4,,,,Mode Number:,5,,,,Mode Number:,6,,,,Mode Number:,7,,,,Mode Number:,8,,,,Mode Number:,9,,,,Mode Number:,10,,,,Mode Number:,11,,,,Mode Number:,12,,,,Mode Number:,13,,,,Mode Number:,14,,,,Mode Number:,15,,,,Mode Number:,16,,,,Mode Number:,17,,,,Mode Number:,18,,,,Mode Number:,19,,,,Mode Number:,20,,,,Mode Number:,21,,,
Natural (undamped) frequency (Hz):, 0.244133,,,,Natural (undamped) frequency (Hz):, 0.248215,,,,Natural (undamped) frequency (Hz):, 0.478741,,,,Natural (undamped) frequency (Hz):, 0.480992,,,,Natural (undamped) frequency (Hz):, 0.554166,,,,Natural (undamped) frequency (Hz):, 0.641727,,,,Natural (undamped) frequency (Hz):, 0.974967,,,,Natural (undamped) frequency (Hz):, 0.987668,,,,Natural (undamped) frequency (Hz):, 1.260771,,,,Natural (undamped) frequency (Hz):, 1.437990,,,,Natural (undamped) frequency (Hz):, 1.867162,,,,Natural (undamped) frequency (Hz):, 2.306886,,,,Natural (undamped) frequency (Hz):, 2.332062,,,,Natural (undamped) frequency (Hz):, 2.556698,,,,Natural (undamped) frequency (Hz):, 2.638375,,,,Natural (undamped) frequency (Hz):, 3.528358,,,,Natural (undamped) frequency (Hz):, 5.404976,,,,Natural (undamped) frequency (Hz):, 5.730187,,,,Natural (undamped) frequency (Hz):, 6.886849,,,,Natural (undamped) frequency (Hz):, 7.648978,,,,Natural (undamped) frequency (Hz):, 13.588129,,,
Damped frequency (Hz):, 0.244133,,,,Damped frequency (Hz):, 0.248215,,,,Damped frequency (Hz):, 0.478739,,,,Damped frequency (Hz):, 0.480926,,,,Damped frequency (Hz):, 0.554046,,,,Damped frequency (Hz):, 0.641417,,,,Damped frequency (Hz):, 0.974531,,,,Damped frequency (Hz):, 0.987221,,,,Damped frequency (Hz):, 1.259807,,,,Damped frequency (Hz):, 1.436739,,,,Damped frequency (Hz):, 1.860430,,,,Damped frequency (Hz):, 2.305556,,,,Damped frequency (Hz):, 2.331106,,,,Damped frequency (Hz):, 2.553529,,,,Damped frequency (Hz):, 2.630739,,,,Damped frequency (Hz):, 3.519883,,,,Damped frequency (Hz):, 5.398714,,,,Damped frequency (Hz):, 5.729959,,,,Damped frequency (Hz):, 6.886150,,,,Damped frequency (Hz):, 7.647984,,,,Damped frequency (Hz):, 13.574491,,,
Damping Ratio (-):, 0.000098,,,,Damping Ratio (-):, 0.000332,,,,Damping Ratio (-):, 0.003006,,,,Damping Ratio (-):, 0.016630,,,,Damping Ratio (-):, 0.020779,,,,Damping Ratio (-):, 0.031113,,,,Damping Ratio (-):, 0.029912,,,,Damping Ratio (-):, 0.030088,,,,Damping Ratio (-):, 0.039109,,,,Damping Ratio (-):, 0.041704,,,,Damping Ratio (-):, 0.084837,,,,Damping Ratio (-):, 0.033955,,,,Damping Ratio (-):, 0.028631,,,,Damping Ratio (-):, 0.049769,,,,Damping Ratio (-):, 0.076027,,,,Damping Ratio (-):, 0.069270,,,,Damping Ratio (-):, 0.048124,,,,Damping Ratio (-):, 0.008915,,,,Damping Ratio (-):, 0.014245,,,,Damping Ratio (-):, 0.016123,,,,Damping Ratio (-):, 0.044792,,,
Mode 1 state description,State has max at mode 1,Mode 1 signed magnitude,Mode 1 phase (deg),,Mode 2 state description,State has max at mode 2,Mode 2 signed magnitude,Mode 2 phase (deg),,Mode 3 state description,State has max at mode 3,Mode 3 signed magnitude,Mode 3 phase (deg),,Mode 4 state description,State has max at mode 4,Mode 4 signed magnitude,Mode 4 phase (deg),,Mode 5 state description,State has max at mode 5,Mode 5 signed magnitude,Mode 5 phase (deg),,Mode 6 state description,State has max at mode 6,Mode 6 signed magnitude,Mode 6 phase (deg),,Mode 7 state description,State has max at mode 7,Mode 7 signed magnitude,Mode 7 phase (deg),,Mode 8 state description,State has max at mode 8,Mode 8 signed magnitude,Mode 8 phase (deg),,Mode 9 state description,State has max at mode 9,Mode 9 signed magnitude,Mode 9 phase (deg),,Mode 10 state description,State has max at mode 10,Mode 10 signed magnitude,Mode 10 phase (deg),,Mode 11 state description,State has max at mode 11,Mode 11 signed magnitude,Mode 11 phase (deg),,Mode 12 state description,State has max at mode 12,Mode 12 signed magnitude,Mode 12 phase (deg),,Mode 13 state description,State has max at mode 13,Mode 13 signed magnitude,Mode 13 phase (deg),,Mode 14 state description,State has max at mode 14,Mode 14 signed magnitude,Mode 14 phase (deg),,Mode 15 state description,State has max at mode 15,Mode 15 signed magnitude,Mode 15 phase (deg),,Mode 16 state description,State has max at mode 16,Mode 16 signed magnitude,Mode 16 phase (deg),,Mode 17 state description,State has max at mode 17,Mode 17 signed magnitude,Mode 17 phase (deg),,Mode 18 state description,State has max at mode 18,Mode 18 signed magnitude,Mode 18 phase (deg),,Mode 19 state description,State has max at mode 19,Mode 19 signed magnitude,Mode 19 phase (deg),,Mode 20 state description,State has max at mode 20,Mode 20 signed magnitude,Mode 20 phase (deg),,Mode 21 state description,State has max at mode 21,Mode 21 signed magnitude,Mode 21 phase (deg),
SD Craig-Bampton mode 1 amplitude  -,1,1.000000,0.000000,,ED Platform horizontal surge translation DOF  m,1,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 3 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 4 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 5 amplitude  -,1,1.000000,0.000000,,SD Craig-Bampton mode 2 amplitude  -,0,1.000000,0.000000,,SD Craig-Bampton mode 1 amplitude  -,0,1.000000,0.000000,
SD Craig-Bampton mode 3 amplitude  -,1,0.638040,0.021660,,SD Craig-Bampton mode 2 amplitude  -,1,0.752485,-0.010741,,SD Craig-Bampton mode 3 amplitude  -,0,0.312592,-2.339507,,SD Craig-Bampton mode 3 amplitude  -,0,0.328151,4.446796,,SD Craig-Bampton mode 1 amplitude  -,0,0.175313,-6.916785,,SD Craig-Bampton mode 1 amplitude  -,0,-0.204659,-6.169422,,SD Craig-Bampton mode 3 amplitude  -,0,0.501012,-0.142585,,SD Craig-Bampton mode 3 amplitude  -,0,0.451009,-0.248784,,SD Craig-Bampton mode 3 amplitude  -,0,0.594378,-0.285355,,SD Craig-Bampton mode 1 amplitude  -,0,0.039416,-1.223093,,SD Craig-Bampton mode 1 amplitude  -,0,0.096952,22.083514,,SD Craig-Bampton mode 3 amplitude  -,0,-0.577775,4.286179,,SD Craig-Bampton mode 1 amplitude  -,0,0.054191,62.049903,,SD Craig-Bampton mode 3 amplitude  -,0,-0.509855,27.274759,,SD Craig-Bampton mode 1 amplitude  -,0,0.837028,75.638863,,SD Craig-Bampton mode 4 amplitude  -,0,0.055466,8.891663,,SD Craig-Bampton mode 3 amplitude  -,0,0.813309,-1.290843,,SD Craig-Bampton mode 2 amplitude  -,0,-0.379416,-0.569273,,SD Craig-Bampton mode 3 amplitude  -,0,0.719395,3.077416,,SD Craig-Bampton mode 4 amplitude  -,0,0.954772,1.827500,,SD Craig-Bampton mode 3 amplitude  -,0,-0.733837,0.300123,
ED Platform horizontal sway translation DOF  m,1,-0.198208,0.108329,,SD Craig-Bampton mode 4 amplitude  -,1,0.334501,-0.067152,,ED Platform horizontal sway translation DOF  m,0,-0.036633,-0.961006,,ED Platform horizontal sway translation DOF  m,0,-0.036883,-0.178165,,SD Craig-Bampton mode 3 amplitude  -,0,0.068108,-6.567323,,ED Platform horizontal surge translation DOF  m,0,0.072777,-3.924090,,SD Craig-Bampton mode 2 amplitude  -,0,0.397602,2.793092,,SD Craig-Bampton mode 2 amplitude  -,0,-0.162083,1.261160,,SD Craig-Bampton mode 5 amplitude  -,0,-0.013321,0.800072,,SD Craig-Bampton mode 4 amplitude  -,0,-0.026812,-2.654884,,SD Craig-Bampton mode 3 amplitude  -,0,-0.052184,27.203091,,SD Craig-Bampton mode 2 amplitude  -,0,-0.093778,44.644928,,SD Craig-Bampton mode 3 amplitude  -,0,-0.032163,65.617961,,SD Craig-Bampton mode 2 amplitude  -,0,-0.005370,56.678039,,SD Craig-Bampton mode 5 amplitude  -,0,-0.018185,32.199531,,SD Craig-Bampton mode 1 amplitude  -,0,0.008161,16.742185,,SD Craig-Bampton mode 5 amplitude  -,0,-0.113475,10.842870,,SD Craig-Bampton mode 1 amplitude  -,0,0.040382,37.367363,,SD Craig-Bampton mode 1 amplitude  -,0,0.125086,37.912212,,ED Platform vertical heave translation DOF  m,0,0.003678,2.093154,,SD Craig-Bampton mode 5 amplitude  -,0,0.475174,-1.064168,
SD Craig-Bampton mode 5 amplitude  -,0,-0.019301,0.060571,,SD Craig-Bampton mode 1 amplitude  -,0,-0.131428,-4.259159,,SD Craig-Bampton mode 5 amplitude  -,0,0.013928,4.179139,,SD Craig-Bampton mode 5 amplitude  -,0,0.012840,-9.445264,,ED 1st flapwise bending-mode DOF of blade cosine  m,1,-0.053030,-4.887423,,ED 1st flapwise bending-mode DOF of blade collective  m,1,-0.045944,-2.943977,,ED 1st edgewise bending-mode DOF of blade sine  m,1,-0.017730,-2.386413,,ED Platform horizontal sway translation DOF  m,0,-0.008905,-3.659302,,SD Craig-Bampton mode 2 amplitude  -,0,-0.010856,2.088092,,SD Craig-Bampton mode 3 amplitude  -,0,0.012540,-3.516583,,SD Craig-Bampton mode 4 amplitude  -,0,-0.018702,-14.855980,,SD Craig-Bampton mode 5 amplitude  -,0,0.006278,-9.062683,,SD Craig-Bampton mode 4 amplitude  -,0,0.004394,28.383083,,SD Craig-Bampton mode 5 amplitude  -,0,-0.004744,-4.046099,,SD Craig-Bampton mode 2 amplitude  -,0,-0.002126,21.323169,,SD Craig-Bampton mode 3 amplitude  -,0,0.008057,15.477303,,SD Craig-Bampton mode 4 amplitude  -,0,-0.013663,40.516144,,SD Craig-Bampton mode 3 amplitude  -,0,0.034313,33.648324,,SD Craig-Bampton mode 2 amplitude  -,0,-0.001832,19.303139,,SD Craig-Bampton mode 5 amplitude  -,0,0.002733,3.961046,,SD Craig-Bampton mode 4 amplitude  -,0,0.002415,-0.813111,
SD Craig-Bampton mode 4 amplitude  -,0,-0.003699,0.971156,,SD Craig-Bampton mode 3 amplitude  -,0,-0.083610,-4.204291,,SD Craig-Bampton mode 2 amplitude  -,0,0.008170,-1.645791,,SD Craig-Bampton mode 2 amplitude  -,0,0.007625,-13.457361,,ED Platform horizontal surge translation DOF  m,0,0.044801,-3.910044,,SD Craig-Bampton mode 3 amplitude  -,0,-0.023461,-16.810205,,ED Platform horizontal sway translation DOF  m,0,-0.009549,-3.583934,,ED 1st edgewise bending-mode DOF of blade cosine  m,1,0.007841,-3.175184,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.006667,-3.348382,,ED 1st flapwise bending-mode DOF of blade cosine  m,0,0.002911,-5.237711,,ED 2nd flapwise bending-mode DOF of blade collective  m,1,0.004858,-20.842904,,ED Platform horizontal sway translation DOF  m,0,0.000442,2.380732,,ED Platform horizontal surge translation DOF  m,0,-0.000396,1.002470,,ED 1st edgewise bending-mode DOF of blade collective  m,0,0.000409,28.764739,,ED 2nd flapwise bending-mode DOF of blade sine  m,0,-0.001041,16.900977,,ED Platform vertical heave translation DOF  m,0,-0.000572,-5.441993,,SD Craig-Bampton mode 2 amplitude  -,0,0.002826,89.703202,,SD Craig-Bampton mode 5 amplitude  -,0,-0.005614,43.545046,,SD Craig-Bampton mode 4 amplitude  -,0,-0.000908,-41.056367,,SD Craig-Bampton mode 1 amplitude  -,0,-0.001710,11.203186,,SD Craig-Bampton mode 2 amplitude  -,0,-0.002130,0.477586,
ED Platform roll tilt rotation DOF  rad,1,0.003393,0.098156,,ED Platform horizontal sway translation DOF  m,0,0.025794,-4.057389,,ED Drivetrain rotational-flexibility DOF  rad,1,-0.005755,1.800759,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.005448,-6.898724,,SD Craig-Bampton mode 4 amplitude  -,0,-0.029127,2.125645,,SD Craig-Bampton mode 4 amplitude  -,0,-0.019995,5.309559,,SD Craig-Bampton mode 4 amplitude  -,0,-0.009219,1.697505,,SD Craig-Bampton mode 5 amplitude  -,0,0.007504,0.061742,,ED Platform horizontal sway translation DOF  m,0,-0.005409,-5.354470,,ED 2nd flapwise bending-mode DOF of blade cosine  m,1,0.002731,-13.198398,,ED Platform horizontal surge translation DOF  m,0,0.003333,-23.255135,,ED 1st edgewise bending-mode DOF of blade collective  m,0,-0.000407,-26.938587,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,-0.000283,-7.237616,,ED Platform horizontal sway translation DOF  m,0,0.000399,12.202547,,ED 1st flapwise bending-mode DOF of blade sine  m,0,0.000734,12.359597,,ED 2nd flapwise bending-mode DOF of blade cosine  m,0,0.000558,6.935696,,ED Platform horizontal sway translation DOF  m,0,0.001519,0.364519,,ED Platform vertical heave translation DOF  m,0,-0.000864,0.754459,,ED Platform horizontal sway translation DOF  m,0,0.000837,7.045090,,SD Craig-Bampton mode 3 amplitude  -,0,-0.000553,43.768556,,ED Drivetrain rotational-flexibility DOF  rad,0,-0.000520,0.284697,
